"artist_name","track_name","album_name","album_release_date","year"
"The Beatles","Help!","Help!","1965-08-06",1965
"The Beatles","The Night Before","Help!","1965-08-06",1965
"The Beatles","You've Got To Hide Your Love Away","Help!","1965-08-06",1965
"The Beatles","I Need You","Help!","1965-08-06",1965
"The Beatles","Another Girl","Help!","1965-08-06",1965
"The Beatles","You're Going To Lose That Girl","Help!","1965-08-06",1965
"The Beatles","Ticket To Ride","Help!","1965-08-06",1965
"The Beatles","Act Naturally","Help!","1965-08-06",1965
"The Beatles","It's Only Love","Help!","1965-08-06",1965
"The Beatles","You Like Me Too Much","Help!","1965-08-06",1965
"The Beatles","Tell Me What You See","Help!","1965-08-06",1965
"The Beatles","I've Just Seen A Face","Help!","1965-08-06",1965
"The Beatles","Yesterday","Help!","1965-08-06",1965
"The Beatles","Dizzy Miss Lizzy","Help!","1965-08-06",1965
"The Beatles","Two Of Us","Let It Be","1970-05-08",1970
"The Beatles","Dig A Pony","Let It Be","1970-05-08",1970
"The Beatles","Across The Universe","Let It Be","1970-05-08",1970
"The Beatles","I Me Mine","Let It Be","1970-05-08",1970
"The Beatles","Dig It","Let It Be","1970-05-08",1970
"The Beatles","Let It Be","Let It Be","1970-05-08",1970
"The Beatles","Maggie Mae","Let It Be","1970-05-08",1970
"The Beatles","I've Got A Feeling","Let It Be","1970-05-08",1970
"The Beatles","One After 909","Let It Be","1970-05-08",1970
"The Beatles","The Long And Winding Road","Let It Be","1970-05-08",1970
"The Beatles","For You Blue","Let It Be","1970-05-08",1970
"The Beatles","Get Back","Let It Be","1970-05-08",1970
"The Beatles","Magical Mystery Tour","Magical Mystery Tour","1967-11-27",1967
"The Beatles","The Fool On The Hill","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Flying","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Blue Jay Way","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Your Mother Should Know","Magical Mystery Tour","1967-11-27",1967
"The Beatles","I Am The Walrus","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Hello, Goodbye","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Strawberry Fields Forever","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Penny Lane","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Baby, You're A Rich Man","Magical Mystery Tour","1967-11-27",1967
"The Beatles","All You Need Is Love","Magical Mystery Tour","1967-11-27",1967
"The Beatles","I Saw Her Standing There","Please Please Me","1963-03-22",1963
"The Beatles","Misery","Please Please Me","1963-03-22",1963
"The Beatles","Anna (Go To Him)","Please Please Me","1963-03-22",1963
"The Beatles","Chains","Please Please Me","1963-03-22",1963
"The Beatles","Boys","Please Please Me","1963-03-22",1963
"The Beatles","Ask Me Why","Please Please Me","1963-03-22",1963
"The Beatles","Please Please Me","Please Please Me","1963-03-22",1963
"The Beatles","Love Me Do","Please Please Me","1963-03-22",1963
"The Beatles","P.S. I Love You","Please Please Me","1963-03-22",1963
"The Beatles","Baby It's You","Please Please Me","1963-03-22",1963
"The Beatles","Do You Want To Know A Secret","Please Please Me","1963-03-22",1963
"The Beatles","A Taste Of Honey","Please Please Me","1963-03-22",1963
"The Beatles","There's A Place","Please Please Me","1963-03-22",1963
"The Beatles","Twist And Shout","Please Please Me","1963-03-22",1963
"The Beatles","Taxman","Revolver","1966-08-05",1966
"The Beatles","Eleanor Rigby","Revolver","1966-08-05",1966
"The Beatles","I'm Only Sleeping","Revolver","1966-08-05",1966
"The Beatles","Love You To","Revolver","1966-08-05",1966
"The Beatles","Here, There And Everywhere","Revolver","1966-08-05",1966
"The Beatles","Yellow Submarine","Revolver","1966-08-05",1966
"The Beatles","She Said She Said","Revolver","1966-08-05",1966
"The Beatles","Good Day Sunshine","Revolver","1966-08-05",1966
"The Beatles","And Your Bird Can Sing","Revolver","1966-08-05",1966
"The Beatles","For No One","Revolver","1966-08-05",1966
"The Beatles","Doctor Robert","Revolver","1966-08-05",1966
"The Beatles","I Want To Tell You","Revolver","1966-08-05",1966
"The Beatles","Got To Get You Into My Life","Revolver","1966-08-05",1966
"The Beatles","Tomorrow Never Knows","Revolver","1966-08-05",1966
"The Beatles","Drive My Car","Rubber Soul","1965-12-03",1965
"The Beatles","Norwegian Wood (This Bird Has Flown)","Rubber Soul","1965-12-03",1965
"The Beatles","You Won't See Me","Rubber Soul","1965-12-03",1965
"The Beatles","Nowhere Man","Rubber Soul","1965-12-03",1965
"The Beatles","Think For Yourself","Rubber Soul","1965-12-03",1965
"The Beatles","The Word","Rubber Soul","1965-12-03",1965
"The Beatles","Michelle","Rubber Soul","1965-12-03",1965
"The Beatles","What Goes On","Rubber Soul","1965-12-03",1965
"The Beatles","Girl","Rubber Soul","1965-12-03",1965
"The Beatles","I'm Looking Through You","Rubber Soul","1965-12-03",1965
"The Beatles","In My Life","Rubber Soul","1965-12-03",1965
"The Beatles","Wait","Rubber Soul","1965-12-03",1965
"The Beatles","If I Needed Someone","Rubber Soul","1965-12-03",1965
"The Beatles","Run For Your Life","Rubber Soul","1965-12-03",1965
"The Beatles","Sgt. Pepper's Lonely Hearts Club Band","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","With A Little Help From My Friends","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Lucy In The Sky With Diamonds","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Getting Better","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Fixing A Hole","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","She's Leaving Home","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Being For The Benefit Of Mr. Kite!","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Within You Without You","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","When I'm Sixty-Four","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Lovely Rita","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Good Morning Good Morning","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Sgt. Pepper's Lonely Hearts Club Band (Reprise)","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","A Day In The Life","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Strawberry Fields Forever","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Strawberry Fields Forever","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Strawberry Fields Forever","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Strawberry Fields Forever","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Strawberry Fields Forever","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","When I'm Sixty-Four","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Penny Lane","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Back In The U.S.S.R.","The Beatles","1968-11-22",1968
"The Beatles","Dear Prudence","The Beatles","1968-11-22",1968
"The Beatles","Glass Onion","The Beatles","1968-11-22",1968
"The Beatles","Ob-La-Di, Ob-La-Da","The Beatles","1968-11-22",1968
"The Beatles","Wild Honey Pie","The Beatles","1968-11-22",1968
"The Beatles","The Continuing Story Of Bungalow Bill","The Beatles","1968-11-22",1968
"The Beatles","While My Guitar Gently Weeps","The Beatles","1968-11-22",1968
"The Beatles","Happiness Is A Warm Gun","The Beatles","1968-11-22",1968
"The Beatles","Martha My Dear","The Beatles","1968-11-22",1968
"The Beatles","I'm So Tired","The Beatles","1968-11-22",1968
"The Beatles","Blackbird","The Beatles","1968-11-22",1968
"The Beatles","Piggies","The Beatles","1968-11-22",1968
"The Beatles","Rocky Raccoon","The Beatles","1968-11-22",1968
"The Beatles","Don't Pass Me By","The Beatles","1968-11-22",1968
"The Beatles","Why Don't We Do It In The Road?","The Beatles","1968-11-22",1968
"The Beatles","I Will","The Beatles","1968-11-22",1968
"The Beatles","Julia","The Beatles","1968-11-22",1968
"The Beatles","Birthday","The Beatles","1968-11-22",1968
"The Beatles","Yer Blues","The Beatles","1968-11-22",1968
"The Beatles","Mother Nature's Son","The Beatles","1968-11-22",1968
"The Beatles","It Won't Be Long","With The Beatles","1963-11-22",1963
"The Beatles","All I've Got To Do","With The Beatles","1963-11-22",1963
"The Beatles","All My Loving","With The Beatles","1963-11-22",1963
"The Beatles","Don't Bother Me","With The Beatles","1963-11-22",1963
"The Beatles","Little Child","With The Beatles","1963-11-22",1963
"The Beatles","Till There Was You","With The Beatles","1963-11-22",1963
"The Beatles","Please Mister Postman","With The Beatles","1963-11-22",1963
"The Beatles","Roll Over Beethoven","With The Beatles","1963-11-22",1963
"The Beatles","Hold Me Tight","With The Beatles","1963-11-22",1963
"The Beatles","You Really Got A Hold On Me","With The Beatles","1963-11-22",1963
"The Beatles","I Wanna Be Your Man","With The Beatles","1963-11-22",1963
"The Beatles","Devil In Her Heart","With The Beatles","1963-11-22",1963
"The Beatles","Not A Second Time","With The Beatles","1963-11-22",1963
"The Beatles","Money (That's What I Want)","With The Beatles","1963-11-22",1963
"The Beatles","Yellow Submarine","Yellow Submarine","1969-01-17",1969
"The Beatles","Only A Northern Song","Yellow Submarine","1969-01-17",1969
"The Beatles","All Together Now","Yellow Submarine","1969-01-17",1969
"The Beatles","Hey Bulldog","Yellow Submarine","1969-01-17",1969
"The Beatles","It's All Too Much","Yellow Submarine","1969-01-17",1969
"The Beatles","All You Need Is Love","Yellow Submarine","1969-01-17",1969
"The Beatles","Pepperland","Yellow Submarine","1969-01-17",1969
"The Beatles","Sea Of Time","Yellow Submarine","1969-01-17",1969
"The Beatles","Sea Of Holes","Yellow Submarine","1969-01-17",1969
"The Beatles","Sea Of Monsters","Yellow Submarine","1969-01-17",1969
"The Beatles","March Of The Meanies","Yellow Submarine","1969-01-17",1969
"The Beatles","Pepperland Laid Waste","Yellow Submarine","1969-01-17",1969
"The Beatles","Yellow Submarine In Pepperland","Yellow Submarine","1969-01-17",1969
"The Beatles","I Want To Hold Your Hand","Meet the Beatles","1964-01-20",1964
"The Beatles","I Saw Her Standing There","Meet the Beatles","1964-01-20",1964
"The Beatles","This Boy","Meet the Beatles","1964-01-20",1964
"The Beatles","It Won't Be Long","Meet the Beatles","1964-01-20",1964
"The Beatles","All I've Got to Do","Meet the Beatles","1964-01-20",1964
"The Beatles","All My Loving","Meet the Beatles","1964-01-20",1964
"The Beatles","Don't Bother Me","Meet the Beatles","1964-01-20",1964
"The Beatles","Little Child","Meet the Beatles","1964-01-20",1964
"The Beatles","Till There Was You","Meet the Beatles","1964-01-20",1964
"The Beatles","Hold Me Tight","Meet the Beatles","1964-01-20",1964
"The Beatles","I Wanna Be Your Man","Meet the Beatles","1964-01-20",1964
"The Beatles","Not a Second Time","Meet the Beatles","1964-01-20",1964
"The Beatles","Norwegian Wood","Rubber Soul","1965-12-03",1965
"The Beatles","Here There And Everywhere","Revolver","1966-08-05",1966
"The Beatles","Elenor Rigby","Revolver","1966-08-05",1966
"The Beatles","Being For The Benefit Of Mr. Kite","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967
"The Beatles","Hello Goodbye","Magical Mystery Tour","1967-11-27",1967
"The Beatles","Lady Madonna","The Beatles","1968-11-22",1968
"The Beatles","Honey Pie","The Beatles","1968-11-22",1968
"The Beatles","Cry Baby Cry","The Beatles","1968-11-22",1968
"The Beatles","Revolution","The Beatles","1968-11-22",1968
"The Beatles","Ob-La-Di Ob-La-Da","The Beatles","1968-11-22",1968
"The Beatles","Sexy Sadie","The Beatles","1968-11-22",1968
"The Beatles","Good Night","The Beatles","1968-11-22",1968
"The Beatles","Everybody's Got Something to Hide","The Beatles","1968-11-22",1968
"The Beatles","Besame Mucho",NA,NA,1962
"The Beatles","She Loves You",NA,NA,1963
"The Beatles","From Me To You",NA,NA,1963
"The Beatles","Day Tripper",NA,NA,1965
"The Beatles","We Can Work It Out",NA,NA,1965
"The Beatles","Paperback Writer",NA,NA,1966
"The Beatles","Hey Jude",NA,NA,1968
"The Beatles","The Ballad of John and Yoko",NA,NA,1969
